category,title,description
Education,Technical Instructor,"There is only one Data Cloud. Snowflake’s founders started from scratch and designed a data platform built for the cloud that is effective, affordable, and accessible to all data users. But it didn’t stop there. They engineered Snowflake to power the Data Cloud, where thousands of organizations unlock the value of their data with near-unlimited scale, concurrency, and performance. This is our vision: a world with endless insights to tackle the challenges and opportunities of today and reveal the possibilities of tomorrow.

The Technical Instructor for the Snowflake Customer Education and Training Team will be responsible for creating and delivering compelling education contents and training sets that make complex concepts come alive in instructor-led classroom venues. The senior instructor will be seen as a subject matter expert and leader in transferring knowledge of Snowflake to customers, partners and internals and in accelerating their technical on-boarding journey. This role will also be responsible for the cross-training efforts, program management and help strategically ramp multiple resources within our external stakeholders.

This role is a unique opportunity to contribute in a meaningful way to high value and high impact delivery at a very exciting time for the company. Snowflake is an innovative, high-growth, customer-focused company in a large and growing market. If you are an energetic, self-managed professional with experience teaching data courses to customers and possess excellent presentation and communication skills, we’d love to hear from you.

AS A TECHNICAL INSTRUCTOR AT SNOWFLAKE, YOU WILL:
• Teach a breadth of technical courses to onboard customers and partners to Snowflake, the data warehouse built for the Cloud.
• Cross-train a breadth of technical courses to qualified individuals and resources.
• The scope of course concepts may include foundational and advanced courses in the discipline which includes Snowflake data warehousing concepts, novel SQL capabilities, data consumption and connectivity interfaces, data integration and ingestion capabilities, database security features, database performance topics, Cloud ecosystem topics and more.
• Apply database and data warehousing industry/domain/technology expertise and experience during training sessions to help customers and partners ease their organizations into the Snowflake data warehouse from prior database environments.
• Deliver contents and cross train on delivery best practices using a variety of presentation formats including engaging lectures, live demonstration, and technical labs.
• Work with customers and partners that are investing in the train the trainer program to certify their selected trainers ensuring they are well prepared and qualified to deliver the course at their organization.
• Strong eye for design, making complex training concepts come alive in a blended educational delivery model.
• Work with the education content developers to help prioritize, create, integrate, and publish training materials and hands-on exercises to Snowflake end users; drive continuous improvement of training performance.
• Work with additional Snowflake subject-matter-experts in creating new education materials and updates to keep pace with Snowflake product updates.

OUR IDEAL TECHNICAL INSTRUCTOR WILL HAVE:
• Strong data warehouse and data-serving platform background.
• Recent experience with using SQL including potentially in complex workloads.
• 5-10 years of experience in technical content training development and delivery.
• Strong desire and ability to teach and train.
• Prior experience with other databases (e.g. Oracle, IBM Netezza, Teradata,…)
• Excellent written and verbal communication skills.
• Innovative and assertive, with the ability to pick up new technologies.
• Presence: enthusiastic and high energy, but also poised, confident and extremely professional.
• Track record of delivering results in a dynamic start-up environment.
• Experience working cross functionally, ideally with solution architects, technical writers, and support.
• Strong sense of ownership and high attention to detail.
• Candidates with degrees from fields such as Computer Science or Management Information Systems.
• Comfortable with travel up to 75% of the time

BONUS POINTS FOR EXPERIENCE WITH THE FOLLOWING:
• Experience with creating and delivering training programs to mass audiences.
• Experience with other databases (e.g. Teradata, Netezza, Oracle, Redshift,…)
• Experience with non-relational platforms and tools for large-scale data processing (e.g. Hadoop, HBase,…).
• Familiarity and experience with common BI and data exploration tools (e.g. Microstrategy, Business Objects, Tableau,…).
• Experience and understanding of large-scale infrastructure-as-a-service platforms (e.g. Amazon AWS, Microsoft Azure,…).
• Experience with ETL pipelines tools.
• Experience using AWS and Microsoft services.
• Participated in Train the Trainer programs
• Proven success at enterprise software startups.

In accordance with applicable law, the following represents a reasonable estimate of the range of possible compensation for this role if hired in Colorado:
• The estimated pay range for this role, if based in Colorado, is $116,500 - $155,000.
• Additionally, this role is eligible to participate in Snowflake’s bonus and equity plan.

Please note that this information is provided for those hired in Colorado only, and this role is open to candidates outside of Colorado with compensation that aligns with your location. The successful candidate’s starting salary will be determined based on permissible, non-discriminatory factors such as skills, experience, and geographic location. This role is also eligible for a competitive benefits package that includes: medical, dental, vision, life, and disability insurance; 401(k) retirement plan; flexible spending & health savings account; paid holidays; paid time off; employee assistance program; and other company benefits.

Snowflake is growing fast, and we’re scaling our team to help enable and accelerate our growth. We are looking for people who share our values, challenge ordinary thinking, and push the pace of innovation while building a future for themselves and Snowflake.

How do you want to make your impact"
Education,"Field Sales Representative, Higher Education, Google Cloud","The Google Cloud Platform team helps customers transform and build what's next for their business — all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers — developers, small and large businesses, educational institutions and government agencies — see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.

As a Field Sales Representative, you will be responsible for managing a pipeline promoting Google for Education to higher education customers in North America. You will manage large accounts, establish relationships, promote the value of technology in education, and build solutions.

Google Cloud provides organizations with leading infrastructure, platform capabilities and industry solutions. We deliver enterprise-grade cloud solutions that leverage Google’s cutting-edge technology to help companies operate more efficiently and adapt to changing needs, giving customers a foundation for the future. Customers in more than 150 countries turn to Google Cloud as their trusted partner to solve their most critical business problems"
Healthcare,Director Healthcare Sales,"Job Title: Healthcare Sales Director

Location: Remote

About this position

We are looking for a proven sales leader with great energy and initiative to drive team performance and sales for our Healthcare team. The successful candidate will formulate and execute a strategy to maximize business growth while working in partnership with Customers, Partner Alliances, Channel, Sales, and Marketing.

The candidate will be a high impact individual capable of driving outstanding business results and first-class employee development. The Sales Leader is fully responsible for developing and managing the team to generate revenue and achieve individual team and organizational growth. The Sales Leader will ensure that the sales team consistently maintains a strong and viable pipeline of new prospects and opportunities.

Responsibilities:
• Create and execute a multi-year business development strategy and build a high performance team by hiring, developing, and retaining strong talent
• Assist in developing new accounts & manage the team's pipeline
• Provide support for the Healthcare business planning process and training by working closely with all business units and all levels of management
• Develop strong business relationships with both senior management and day-to-day contacts at established and newly developed prospects, customers, and channel

The team you lead at Advantech Corporation will directly impact the growth of our overall Healthcare organization. You will be masterful in client engagement, coaching your team to develop in their careers, and inspire your team to do the best work of their life by:
• Providing support and guidance to direct reports by participating and leading in client and prospect meetings or engaging other corporate resources as required
• Developing a winning team, including recruiting, hiring and training
• Coaching direct reports on strategies to drive sales wins
• Accurately reporting on sales activity and forecasting to senior Sales management
• Monitoring the sales activity of the team, and tracking of results
• Leading initiatives to drive customer awareness and engagement
• Developing and executing successful sales campaigns
• Developing required Corporate relationships and Executive engagement to support success

Qualifications:
• Proven successful experience in leading a team of Enterprise Account Executives in the field of Healthcare / Healthcare IT.
• Proven ability to create high performing teams and lead them to success.
• Excellent presentation, negotiation and executive engagement skills.
• Resourceful with a strong drive for results.
• Consultative selling experience.
• Strong business acumen.
• A self-starter that can thrive in a fast paced environment.
• Extremely well-versed in the modern healthcare challenges and technology landscape.
• Together with the sales team, navigate complex organizations (including Accountable Care Organizations (ACOs), Hospital Systems, Acute and Post-Acute organizations and Long Term Care facilities) as well as Payers and Manufacturers to find decision makers and other key stakeholders.
• Track record of managing and generating sales from large healthcare accounts.
• Ability to identify, attract and work with system integrators and service provider partners as needed.

Benefits:
• Winning culture with a friendly, team-oriented environment!
• Generous benefits package including medical, dental, vision, long-term disability and life insurance
• 401(k) company matched contributions
• Education & personal development reimbursement program
• 15 days of paid time off and 10 paid holidays
• Company trips

About Advantech

Founded in 1983, Advantech is a leader in providing trusted innovative embedded and automation products and solutions. Advantech offers comprehensive system integration, hardware, software, customer-centric design services, and global logistics support; all backed by industry-leading front and back office e-business solutions. Advantech has always been an innovator in the development and manufacture of high-quality, high-performance computing platforms.

We cooperate closely with our partners to help provide complete solutions for a wide array of applications across a diverse range of industries. To realize our corporate vision of Enabling an Intelligent Planet, Advantech will continue collaborating and partnering for Smart city & IoT Solutions.

World-class Recognition

Advantech is an authorized alliance partner of both Intel® and Microsoft®. Our customers will find the technologies we use inside our products to be widely compatible with other products in the global marketplace. In 2018 and 2019, Interbrand, the world renowned brand consulting firm, once again recognized Advantech efforts to build a trusted, global brand; it also symbolizes a promise we gave to our business partners, which was to do our best to keep building a trustworthy brand that is recognized everywhere in the world. Advantech was selected as Interbrand’s #5 best Taiwan Global Brand in 2018.

Work Authorization:

To conform to U.S. Government export regulations (ITAR), applicant must be a U.S. citizen, lawful permanent resident of the U.S., protected individual as defined by 8. U.S.C. 1324b(a)(3), or eligible to obtain the required authorizations from the U.S. Department of State. More information can be found at https://www.pmddtc.state.gov/regulations_laws/itar.html

Advantech is proud to be an Equal Employment Opportunity employer. We accept applications directly from candidates only and will not be responsible for any recruiting agency fees absent a formal agreement"
Healthcare,Healthcare Professional - Travel,"Job Category

Healthcare Professional

Profession

Healthcare Professional

Specialty

Shift

8 D

Duration

24 Weeks

Start Date

ASAP

Pay Rate

Call for Details

Job Description & Requirements

Healthcare Professional - Travel - (HP)

Established in 1893, we are a 366 bed, not-for-profit community hospital providing Fairfield and Westchester County residents convenient access to exceptional care, close to home. As a teaching hospital, we are associated with Yale University School of Medicine, University of Vermont College of Medicine, and Ross University School of Medicine. We are currently looking for a new member to join the Stock Room team. If you are a compassionate and experienced healthcare professional, ready to join a caring staff within beautiful surroundings, this is the role for you!

Required Qualifications

Call for details.

Preferred Qualifications

Call for details.

About The Facility

Call for details.

Facility Location

Part of Fairfield County, the Bridgeport/Norwalk area of Connecticut is an energetic region with an extensive network of top-rated hospitals and medical facilities. Located on the southern coast of the state, just a stone’s throw from New York City, this area is known for both its beautiful scenery and ideal location. Famous for its delectable oysters and idyllic New England countryside, the areas of Bridgeport and Norwalk are not to be missed.

Job Benefits

At American Mobile Healthcare we take care of our travelers! We offer:
• Competitive pay rates
• Free, quality, private housing
• Medical, Dental, Vision
• 401(k) and Flex Spending
• Life Insurance
• Accident and Short-term Disability Coverage
• Free Continuing Education
• Refer a friend and earn extra cash!

About The Company

Since its inception in 1985, American Mobile Healthcare has set the highest standards in professional recruitment for the travel healthcare industry. Our professional staffing team offers unparalleled customer service and industry commitment, as well as top pay and benefits. American Mobile Healthcare is an EEO/AA/Disability/Protected Veteran Employer. We encourage minority and female applicants to apply"
Healthcare,Associate Manager Marketing,"Description:

Providence St. Joseph Health is calling an Associate Manager Marketing to our location in Portland, OR. T his role is remote and can reside in the footprint of Providence in the states of AK, WA, OR, CA, MT, NM and TX

At Providence we believe that everyone deserves the absolute best care, no matter the circumstance.

For more than 160 years, our not-for-profit healthcare collective has set the health and well-being standard for our community. We continue to raise this standard every day, dutifully helping anyone in need — not only members. We believe that health insurance is much more than a perk or a benefit. That’s why our health insurance goes beyond the numbers.

This commitment isn’t solely about treating sickness, it’s about investing in health. It takes a collective approach to deliver on the whole care picture. This means we intervene earlier, improve outcomes, lower costs, and better the health of our entire community. Because healthcare isn’t a commodity service, it’s a community pursuit.

Providence Health Plan is dedicated to strengthening the communities we serve. By championing the improvement of the health of a community, we can build something greater than ourselves.

We are seeking an enthusiastic Associate Marketing Manager who will champion this cause through thoughtful connections with members and future members.

RESPONSIBILITIES
• Understand and appreciate Providence Health Plan business drivers, objectives, and metrics in assigned area(s) of responsibilities.
• Help evolve the way we connect with and deliver inspiring brand experiences to key audiences.
• Develop strong rapport and establish professional credibility and a collaborative relationship with cross-functional business partners and senior leaders in the department.
• Juggle multiple projects and priorities effectively in a matrixed organization.
• Flexible mindset – must be able to work in an environment that embraces changes and pivots to meet changing priorities.

IN THIS POSITION YOU WILL
• Assist the Marketing Manager or Marketing Director in the development of marketing plans for a line (or lines) of business with a focus on acquisition and retention.
• Enhance these plans by contributing ideas that enable Providence Health Plan to better connect with the target audience needs and perspective and improve their experience with Providence.
• Independently lead marketing plan execution. Collaborate with cross-functional teams, partners, and vendors to complete high-quality marketing materials on time and within budget, consistent with approved plans.
• On some projects, lead the creative process from creative brief development to creative direction and approval, demonstrating strong marketing and creative instincts and judgment.

Qualifications:

Required qualifications for this position include:
• Bachelor's Degree in Business, Marketing, Communications or Liberal Arts.
• Five (5) years of relevant marketing experience, including proven experience in developing and executing marketing plans that deliver an emotional connection with target audiences (consumers, patrons, patients, physicians and/or employers) and strong business results.
• Interest in working in health care.

Preferred qualifications for this position include:
• Master's Degree in relevant field.
• Health care experience

About Providence in Oregon

As the largest healthcare system and largest private employer in Oregon, Providence offers exceptional work environments and unparalleled career opportunities.

The Providence Experience begins each time our patients or their families have an encounter with a Providence team member and continues throughout their visit or stay. Whether you provide direct or indirect patient care, we want our patients to feel that they are in a welcoming place where they can be comfortable and free from anxiety. Our employees create the Providence Experience through simple, caring behaviors such as acknowledging and welcoming each visitor, introducing ourselves and Providence, addressing people by name, providing the duration of estimated wait times and updating frequently if timelines change, explaining situations in a way that puts patients at ease, carefully listening to their concerns, and always thanking people for trusting Providence for their healthcare needs. At Providence, our quality vision is simple,

""Providence will provide the best care and service to every person, every time.""

Providence is consistently ranked among the top 100 companies to work for in Oregon. It is also home to two of our award-winning Magnet medical centers. Providence hospitals and clinics are located in numerous areas, ranging from the Columbia Gorge to the wine country to sunny southern Oregon to charming coastal communities to the urban setting of Portland. If you want a vibrant lifestyle while working with a team highly committed to the art of healing, choose from our many options in Oregon.

We offer comprehensive, best-in-class benefits to our caregivers. For more information, visit

https://www.providenceiscalling.jobs/rewards-benefits/

Our Mission

As expressions of God’s healing love, witnessed through the ministry of Jesus, we are steadfast in serving all, especially those who are poor and vulnerable.

About Us

Providence is a comprehensive not-for-profit network of hospitals, care centers, health plans, physicians, clinics, home health care and services continuing a more than 100-year tradition of serving the poor and vulnerable. Providence is proud to be an Equal Opportunity Employer. Providence does not discriminate on the basis of race, color, gender, disability, veteran, military status, religion, age, creed, national origin, sexual identity or expression, sexual orientation, marital status, genetic information, or any other basis prohibited by local, state, or federal law.

Schedule: Full-time

Shift: Day

Job Category: Marketing/PR/Communications

Location: Oregon-Portland

Other Location(s): Montana, California, New Mexico, Oregon, Washington, Texas, Alaska

Req ID: 327372"
Healthcare,Healthcare Service Strategy Lead,"We’re looking for an exceptional leader and cross-team collaborator to partner with stakeholders to optimize global industry solutions sales & delivery.? Primarily centered on the objective of meeting and exceeding our revenue and scorecard targets for commercial cloud revenue and delivery value, this role includes holistically owning the Healthcare Service Line strategy, specifically for the Pharmaceutical/Life Sciences vertical.? This entails developing “Market-making” solution offerings coupled with executable go-to-market design, coverage, capacity, and success metrics.

As a Healthcare Service Strategy Lead, you’ll partner closely with stakeholders including senior leaders in the Product Group, Business Group (BG), Industry Solutions Groups, Customer Success, Finance, as well as Field/Enterprise Operating Unit (EOU) teams to shape & execute against our defined approach to Payor/Pharma and co-innovating with customers"
Cleaning and Facilities,HOUSEKEEPER,"Posted Date: Dec 22, 2021
• We have an opening for a full-time HOUSEKEEPER position.
• Location: Loreal- 77 Deans Rhode Hall Rd Monmouth Jackson, NJ 08852. Note: online applications accepted only
• Schedule: Full-tme schedule; Monday through Friday, 7:00am-3:30pm.
• Requirement: Willing to train!

ESFM is the corporate Integrated Facilities Management (IFM) division of Compass Group USA and a Keystone member of the International WELL Building Institute (IWBI).

Rooted in hospitality, ESFM elevates the workplace experience as the single source of innovative FM solutions that ensure a safe, healthy, and sustainable environment. ESFM’s clients include many household names from Life Science, Technology, Oil & Gas and Manufacturing markets.

ESFM self-performs 80% of all IFM solutions provided to clients. Their portfolio of service categories includes Environment, Health & Safety, Facilities Maintenance & Engineering, Sustainability, Janitorial & Industrial Cleaning, Laboratory Support and Workplace solutions. This self-performance model creates a consistent hospitality experience for clients, resulting in higher engagement and productivity from their employees.?

In 2020, ESFM (formerly Eurest Services) won the George Graves Award for Facility Management Achievement from the International Facilities Management Association (IFMA).

Full time associates at ESFM are offered many fantastic benefits such as:
• Medical
• Dental
• Vision
• Flexible Spending Accounts (FSAs)
• Commuter Benefits
• Wellness Program
• Employee Assistance Program
• Life Insurance for Associates and Eligible Dependents
• Short Term Disability (STD) and Long Term Disability (LTD)
• Accidental Death & Dismemberment (AD&D) Insurance
• Discount Marketplace
• 401(k)
• And other voluntary benefits

Job Summary

Summary: Performs light cleaning duties to maintain establishments, including hotels, restaurants and hospitals, in a clean and orderly manner. Duties include making beds, replenishing linens, cleaning rooms and halls, and vacuuming.

Essential Duties and Responsibilities:
• Provides quality customer service to customers by providing one-on-one attention to detail.
• Sweeps, scrubs, mops and polishes floors.
• Vacuums carpets, rugs and draperies.
• Shampoos carpets, rugs and upholstery.
• Dusts and polishes furniture and fittings.
• Cleans metal fixtures and fittings.
• Empties and cleans trash containers.
• Disposes of trash in a sanitary manner.
• Cleans wash basins, mirrors, tubs and showers.
• Wipes down glass surfaces.
• Makes up beds and changes linens as required.
• Realigns furniture and amenities according to prescribed layout.
• Responds to guest queries and requests.
• Responds to calls for housekeeping problems, such as spills and broken glasses.
• Contributes to team efforts; exhibits professionalism with customers, fellow associates and others.
• Performs other duties as assigned.

About Compass Group: Achieving leadership in the foodservice industry

Compass Group is an equal opportunity employer. At Compass, we are committed to treating all Applicants and Associates fairly based on their abilities, achievements, and experience without regard to race, national origin, sex, age, disability, veteran status, sexual orientation, gender identity, or any other classification protected by law.

Qualified candidates must be able to perform the essential functions of this position satisfactorily with or without a reasonable accommodation. Disclaimer: this job post is not necessarily an exhaustive list of all essential responsibilities, skills, tasks, or requirements associated with this position. While this is intended to be an accurate reflection of the position posted, the Company reserves the right to modify or change the essential functions of the job based on business necessity. *Los Angeles applicants: Compass Group will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring (Ban the Box ordinance)."
Cleaning and Facilities,Cleaner All shifts,"Are you looking for a job that can give you the satisfaction of taking care of others?. The cleaning and sanitation jobs are one of the most applied jobs these days, and one of the most important daily activities for our client, as most of our employees consider the site as their second home. Randstad is seeking a dedicated associate to work for the cleaner department in the Secaucus area. The job is Monday-Friday from 3:00 pm to 12:00 am. $16.10 per hour. We offer a Paymayway, faster pay, easy setup, access to 50% of a shift's earnings the next day for eligible assignments. A WEEKLY BONUS OF $50 for perfect attendance if qualified. We offer: All beverages are free, Parking lot Talent engagements, employee perks, Access to public transportation Employee Assistance Program (EAP) Please send a TEXT to Erika Leon 2018758011 or email Erika.leon-flores@randstadusa.com.

Responsibilities
• Perform cleaning operations under strict guidelines. Continually monitor the cleanroom cleaning procedures to ensuring all cleanings are completed promptly and correctly.
• Normal duties include but are not limited to micro-cleaning all surfaces within the controlled environment including ceilings, walls, equipment, and floors.
• The ability to follow customer standard operating procedures in precise detail including documentation.
• Identify deviations in cleaning and follow through on corrective and preventative actions (variances).
• Assist in the cross-training of other Controlled Contamination Services personnel.
• Report all damage to customer property, suspicious activities, and unsafe conditions within the work area to the supervisor.

The essential functions of this role include:
• manual lifting up to 50lbs
• standing for 8 hours at one time
• working up to 5 hrs of overtime per week

Skills
• Cleaning
• Inventory Auditing
• Sweeping
• Product Handling

Education
• No Degree Required

Qualifications
• Years of experience: 1 year
• Experience level:Entry Level

Shift: Second

Working hours: 3 PM - 12 AM

Randstad is a world leader in matching great people with great companies. Our experienced agents will listen carefully to your employment needs and then work diligently to match your skills and qualifications to the right job and company. Whether you're looking for temporary, temporary-to-permanent or permanent opportunities, no one works harder for you than Randstad.

For certain assignments, Covid-19 vaccination and/or testing may be required by Randstad's client or applicable federal mandate, subject to approved medical or religious accommodations. Carefully review the job posting for details on vaccine/testing requirements or ask your Randstad representative for more information.

Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status"
Cleaning and Facilities,Mayfield Heights Evening Cleaner,"Come join a team where we invest in you both personally and professionally for your growth, all while having fun. Employees can be rewarded with incentives and advancement opportunities.

A Quality Facility Services provides janitorial services to Ohio and surrounding areas. Disrupting the industry utilizing innovation and execution, we are looking for dedicated team mates who take pride in their work.

Why wait? Apply Today! Immediate Openings!

Benefits:

Health Benefits for full-time Employees

Full and Part-Time Positions Available (find what fits your needs)

Culture of career-minded and pursuing growth and learning

Comprehensive Paid Training.

Advancement Opportunities

Referral Incentives

Staff appreciation lunches/parties

Uniforms provided.

Job Purpose:

Keeps premises of building in clean and orderly condition by performing duties. These duties can be performed collectively, or a team member could perform just one of these duties in a building

Duties
• Clean and polish (fixtures, surfaces and trim)
• Maintain cleanliness in the following areas (rooms, hallways, lobbies, lounges, restrooms, corridors, elevators, stairways, cafeterias, locker rooms, and other areas)
• Sweep, mop, and vacuum floors
• May potentially buff floors in some facilities
• Clean rugs and mats
• Dust furniture and equipment
• Wash walls, ceilings, woodwork, windows, door panels and sills
• Empty wastebaskets and trash bins
• Transport trash and waste to disposal area"
Cleaning and Facilities,Janitor,"Job Type:
100% ReimbursedJob Posting Title:
JanitorJob Description Summary
The Cleaner will work under the supervision of the Custodial Manager or Supervisor and perform a variety of custodial duties for C&W Services. Such duties shall be in accordance with established standards, instructions, and procedures of C&W Services.Job Description:

TYPICAL JOB DUTIES AND RESPONSIBILITIES:

· Sweep, mop, and wash floors, and other surfaces (inside buildings).

· Use light and heavy (commercial type) floor (buffers) and shampoo machines including attachments.

· Vacuum rugs in offices and public areas. Spot clean daily and shampoo when directed rugs. Clean and dust furniture, exhibit cases, pictures, chairs, door trim, light fixtures, and all other horizontal surfaces including periodic high dusting.

· Wash windowsills; glass in interior doors, partition, and specified windows.

· Wash glass and trim at entrance doors, interior/exterior- Wash/spot clean interior walls as appropriate daily.

· Clean bathrooms and restock paper supplies daily. Standard bathroom procedures are to damp wipe glass surfaces, empty waste baskets, service soap and toilet paper dispensers, dust sills, clean tile walls, shelves, stall partitions, sweep/mop/scrub floors, etc.

· Monitors possible defects such as clogged urinals and lights out, and reports to supervisors.

o Collect building trash daily placing it in approved container and place in designated collection area for subsequent removal.

o Replace liners in waste baskets and trash containers per specs.

o Sweep or shovel snow from steps and walkways at building entrances and connecting walkways/sidewalks as directed.

· Performs periodic work: High dusting, leather and wood surface, polishing, wall washing.

· Any and all other duties as assigned.

REQUIREMENTS:

· Basic cleaning responsibilities requires no previous experience

· Must be able to take direction, to work with minimal supervision, and to function cooperatively as part of a team

· Ability to use cleaning tools and equipment.

· Use a portable vacuum cleaner – back pack style.

· Requires attention to detail, a pride in delivering excellent service, organization, and high levels of energy and endurance.

Note: This position requires compliance with our COVID related protocols, which may also include client-specific requirements. This might include, but is not limited to,
either providing documentation of full vaccination as per CDC (if in U.S.) or public health mandate (if in Canada) guidelines or agreeing to regular COVID testing.

C&W Services is an Equal Opportunity / Affirmative? Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, sexual orientation, gender identity, protected veteran status or any other characteristic protected by law"
Restaurant and Hospitality,ASSISTANT RESTAURANT MANAGER,"Your talent, source of unforgettable moments.
What’s in it for you

Chance to be part of a multicultural team from around the worldOpportunity to grow fast professionally as a managerOpportunity to travel the world in exotic locationsDiscover new skills and talentsShare a lifestyle with international guests.

You Will

Assist Restaurant Manager in managing the restaurant team and ensure proper restaurant set upParticipate in welcoming guests as they arrive and ensure service qualityDetermine any training opportunitiesEnsure company standards and procedures are followed through by personnelNotify restaurant manager in linen needs and other required productsEnsure buffet set up and decoration is in placeControl quality and speed of table clearing during servicePlan weekly schedules and participate in recruiting new personnelAssist service staff during high occupancy times as needed"
Restaurant and Hospitality,RESTAURANT / HOSPITALITY EXPERIENCE - Entry Level Positions,"Are you seeking an opportunity where you can drop anchor and build a career? Our promotional marketing firm has immediate positions available for individuals who have the ‘gift of gab’ and are determined to succeed.

Our roster of Fortune 500 and Fortune 100 clients is a result of our team’s unparalleled ability to connect with consumers

We have the opportunity to expand to new markets and have availability for entry level candidates in all departments.

Daily Tasks:
• Train in multiple facets of our business: sales, marketing, promotions, recruiting, administration, and more
• Work collaboratively with team members to manage territories
• Promote and sell our clients’ products and services
• Interact directly with customers to generate new business

Minimum Requirements:
• High School Diploma or GED
• Must pass a Background Check
• Valid Driver’s License

Qualities we love:
• Proficient interpersonal communication skills
• Team player
• Self driven
• Ability to multitask
• Detail oriented

Candidates with the following experience are encouraged to apply today: General Labor, Construction, Home Improvement, Labor, Labor and Development Operations, Field Construction, Telecom Construction, Construction Management or Construction Experience"
Restaurant and Hospitality,Restaurant Manager,"Why Join Us?

We are a stable and fast-growing food service
company operating in North America (US & Canada), and we offer our
employees the following:
• Great work culture, a compelling mission- vision-
values, and a work environment of family spirit & fun
• Excellent training & career advancement
opportunities
• Continuous learning & development
• Strong family values & culture
• Employee Benefits:
• Health Benefits
• 401 (k) Match
• Job growth opportunities
• Paid Leaves
• Paid Life Insurance
• Employee Discounts
• Meal Privileges
• And other employee perks

Recipient of two (2) Global Employer
Excellence Awards
• Gallup Exceptional Workplace Award
• Forbes' List of the World's Best Employers

We are looking for a Restaurant
Manager--- a full-time permanent position in our Restaurant Operations. The
successful candidate will assist the Restaurant General Manager in achieving
the following Key Result Areas (KRAs):
• Food, Service, Cleanliness
standards target achievement
• Sales target achievement
• Profit target achievement
• People leadership and
management: learning and development, inspiring, motivating,
disciplining and keeping the high morale and engagement of store team.
• Store Operations
Administration: store’s adherence to the organization’s
operating systems and standards and compliance to all government and legal
(law) requirements; financial analysis (profit & loss statement
analysis); business planning and management presentations and reports.

Job Requirements:
• Completed at least High school education.
• At least 2 years experience as a Team Leader in charge
of service/product quality standards in a food or retail
industry or any equivalent combination of education and experience from
which comparable knowledge, skills and abilities have been achieved.
• High energy level; must be able to work in varying work
schedules and workweek/days including holidays
• Excellent communication and interpersonal skills
• Results-oriented, self-driven, fast learner &
adaptable
• Computer proficient in MS Office: Excel, Word,
PowerPoint, Outlook

THIS JOB IS FOR IMMEDIATE PLACEMENT.

APPLICANTS MUST BE AUTHORIZED TO WORK IN THE
USA.

This Company is an Equal Opportunity Employer.

We use eVerify to confirm U.S. Employment eligibility"
Restaurant and Hospitality,Hotel Jobs,"Job Description

NOW HIRING!!! - IMMEDIATE OPENINGS

Nationwide Hospitality staffing company is currently
offering positions in Charleston and surrounding areas. We will be interviewing
and hiring for the following positions,
• Housekeepers
• Houseman
• Laundry Attendant
• Dishwashers
• Maintenance
• Cooks
• Housekeeping Supervisor
• Front desk
• Etc.

Apply online https://application.hssstaffing.com

or CALL US TODAY!!: (843) 647-7040 or Text HSS1 to 90206"
